Instance,Clarke-Wright,Tabu search,CBC
B-n31-k05,736.98,684.00,688.02
B-n34-k05,874.41,807.24,840.51
B-n35-k05,1077.64,978.64,1014.40
B-n38-k06,1043.65,830.32,939.96
B-n39-k05,920.48,567.38,576.63
B-n41-k06,1175.26,898.99,901.96
B-n43-k06,1026.51,800.24,807.25
B-n44-k07,1250.01,940.07,1158.74
B-n45-k05,1167.79,770.57,865.26
B-n45-k06,819.53,730.92,986.39
B-n50-k07,958.79,757.03,795.44
B-n50-k08,1703.91,1340.60,1631.44
B-n51-k07,1140.20,1023.55,
B-n52-k07,884.62,768.30,902.45
B-n56-k07,941.09,735.29,867.10
B-n57-k07,1442.78,1149.80,
B-n57-k09,1818.30,1664.90,1880.01
B-n63-k10,1903.31,1599.65,2119.11
B-n64-k09,1086.80,928.63,
B-n66-k09,1854.15,1400.88,
B-n67-k10,1380.19,1104.05,1462.61
B-n68-k09,1610.49,1317.48,1814.77
B-n78-k10,1557.42,1262.54,1956.47
