Instance,Clarke-Wright,Tabu search
B-n31-k05,736.98,684.00
B-n34-k05,874.41,807.24
B-n35-k05,1077.64,978.64
B-n38-k06,1043.65,830.32
B-n39-k05,920.48,567.38
B-n41-k06,1175.26,898.99
B-n43-k06,1026.51,800.24
B-n44-k07,1250.01,940.07
B-n45-k05,1167.79,770.57
B-n45-k06,819.53,730.92
B-n50-k07,958.79,757.03
B-n50-k08,1703.91,1340.60
B-n51-k07,1140.20,1023.55
B-n52-k07,884.62,768.30
B-n56-k07,941.09,735.29
B-n57-k07,1442.78,1149.80
B-n57-k09,1818.30,1664.90
B-n63-k10,1903.31,1599.65
B-n64-k09,1086.80,928.63
B-n66-k09,1854.15,1400.88
B-n67-k10,1380.19,1104.05
B-n68-k09,1610.49,1317.48
B-n78-k10,1557.42,1262.54
